=== JUNGLE.EXE segment 1 — 50 imported call sites
  seg2:5e8a  JUNGS01.6        S_005
  seg2:5f50  JUNGS01.10       S_009
  seg2:5f67  JUNGS01.35       S_034
  seg2:5f7c  JUNGS01.59       S_058
  seg2:5fcd  JUNGS01.12       S_011
  seg2:6035  JUNGR01.8        RESGETTYPE
  seg2:6114  JUNGS01.4        S_003
  seg2:6166  JUNGS01.4        S_003
  seg2:6277  JUNGA01.37       A_037
  seg2:62b6  JUNGR01.5        RESCREATEWAVEEVENT
  seg2:6306  JUNGR01.8        RESGETTYPE
  seg2:6353  JUNGR01.8        RESGETTYPE
  seg2:63a6  JUNGS01.78       S_077
  seg2:63b4  JUNGS01.78       S_077
  seg2:63c8  USER.79          INTERSECTRECT
  seg2:6408  JUNGS01.20       S_019
  seg2:6426  JUNGR01.8        RESGETTYPE
  seg2:643a  JUNGR01.51       RESCOPYRESOURCE
  seg2:6469  JUNGR01.8        RESGETTYPE
  seg2:648b  JUNGR01.42       RESDELETERESOURCE
  seg2:655b  JUNGR01.8        RESGETTYPE
  seg2:656f  JUNGR01.42       RESDELETERESOURCE
  seg2:65a9  JUNGU01.11       WINFREE
  seg2:65d1  JUNGU01.11       WINFREE
  seg2:65ee  JUNGU01.11       WINFREE
  seg2:6620  JUNGS01.14       S_013
  seg2:6638  JUNGA01.13       A_013
  seg2:6650  JUNGA01.12       A_012
  seg2:66e0  JUNGR01.8        RESGETTYPE
  seg2:67c6  JUNGR01.8        RESGETTYPE
  seg2:68a9  JUNGR01.8        RESGETTYPE
  seg2:68c7  JUNGR01.11       RESLOADRESOURCE
  seg2:68da  JUNGA01.37       A_037
  seg2:68e9  JUNGS01.62       S_061
  seg2:6907  JUNGR01.16       RESSETCALLBACK
  seg2:6937  JUNGR01.11       RESLOADRESOURCE
  seg2:6947  JUNGS01.62       S_061
  seg2:6966  JUNGR01.16       RESSETCALLBACK
  seg2:6a4c  JUNGR01.8        RESGETTYPE
  seg2:6a65  JUNGR01.8        RESGETTYPE
  seg2:6b32  JUNGU01.22       GETQUADRANT
  seg2:6b86  JUNGU01.21       GETANGLE
  seg2:6bec  JUNGU01.25       TANGENT
  seg2:6d55  JUNGU01.21       GETANGLE
  seg2:6f4f  JUNGU01.27       GETINTERSECT
  seg2:702a  JUNGU01.24       SINE
  seg2:7032  JUNGU01.20       COSINE
  seg2:7238  JUNGU01.23       NORMALIZEANGLE
  seg2:7339  USER.76          PTINRECT
  seg2:734f  JUNGU01.21       GETANGLE
  seg2:7361  USER.76          PTINRECT
  seg2:73a5  USER.70          SETCURSORPOS
  seg2:73b5  JUNGU01.22       GETQUADRANT
  seg2:7428  USER.78          INFLATERECT
  seg2:7437  USER.78          INFLATERECT
  seg2:744f  USER.70          SETCURSORPOS
  seg2:74d4  USER.79          INTERSECTRECT
  seg2:7511  JUNGS01.18       S_017
  seg2:75f0  JUNGS01.23       S_022
  seg2:7620  MMSYSTEM.607     TIMEGETTIME
  seg2:7656  JUNGU01.11       WINFREE
  seg2:786e  JUNGU01.8        WINMALLOC
  seg2:78bd  JUNGR01.11       RESLOADRESOURCE
  seg2:78f1  JUNGR01.15       RESSEEKRESOURCE
  seg2:78fe  JUNGR01.27       RESTELL
  seg2:79b2  JUNGR01.17       RESEXPANDBITMAP
  seg2:79f4  JUNGS01.20       S_019
  seg2:79fd  JUNGU01.11       WINFREE
  seg2:7a20  JUNGU01.11       WINFREE
  seg2:7b17  JUNGA01.11       A_011
  seg2:7b2c  JUNGA01.29       A_029
  seg2:7bf6  MMSYSTEM.607     TIMEGETTIME
  seg2:7c10  MMSYSTEM.607     TIMEGETTIME
  seg2:7ca5  JUNGU01.8        WINMALLOC
  seg2:7ce5  KERNEL.113       __AHSHIFT
  seg2:7d02  JUNGU01.2        COPYHUGEBYTES
  seg2:7d5f  JUNGS01.62       S_061
  seg2:7d76  JUNGR01.16       RESSETCALLBACK
  seg2:7da6  JUNGR01.18       RESREADDATA
  seg2:7dc5  JUNGR01.16       RESSETCALLBACK
  seg2:7dd2  JUNGS01.62       S_061
  seg2:7ea1  JUNGA01.13       A_013
  seg2:7f1b  KERNEL.5         LOCALALLOC
  seg2:7f92  JUNGS01.17       S_016
  seg2:8012  JUNGU01.11       WINFREE
  seg2:8025  JUNGU01.11       WINFREE
  seg2:806d  KERNEL.7         LOCALFREE
  seg2:80c7  MMSYSTEM.607     TIMEGETTIME
  seg2:81db  JUNGU01.2        COPYHUGEBYTES
  seg2:8206  KERNEL.113       __AHSHIFT
  seg2:8216  JUNGU01.2        COPYHUGEBYTES
  seg2:8283  KERNEL.58        GETPROFILESTRING
  seg2:82be  GDI.53           CREATEDC
  seg2:82d3  GDI.381          SETABORTPROC
  seg2:82f3  JUNGU01.8        WINMALLOC
  seg2:83eb  JUNGR01.17       RESEXPANDBITMAP
  seg2:8417  JUNGU01.11       WINFREE
  seg2:8483  GDI.377          STARTDOC
  seg2:848b  GDI.379          STARTPAGE
  seg2:84a5  GDI.80           GETDEVICECAPS
  seg2:84b4  GDI.80           GETDEVICECAPS
  seg2:8573  GDI.439          STRETCHDIBITS
  seg2:857e  JUNGU01.11       WINFREE
